Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uf,C_0402_1005Metric,101.339411,-79.598089,45,top
C2,0.1uF,C_0402_1005Metric,97.2,-90.9375,-90,top
C3,0.1uF,C_0402_1005Metric,89.68,-85.7,180,top
C4,0.1uF,C_0402_1005Metric,90.72,-81.2,180,top
C5,0.1uF,C_0402_1005Metric,99.5,-80.1375,90,top
C6,0.1uF,C_0402_1005Metric,96.6,-76.2375,90,top
C7,0.1uF,C_0402_1005Metric,97.6,-75.4,90,top
C8,0.1uF,C_0402_1005Metric,101,-81.4375,0,top
C9,0.1uF,C_0402_1005Metric,101.12,-85.9375,0,top
C10,1uF,C_0402_1005Metric,98.3,-90.9375,-90,top
C11,0.1uF,C_0402_1005Metric,98.5,-79.4375,90,top
C12,0.1uF,C_0402_1005Metric,95.5,-76.2375,90,top
C13,10uF,C_0603_1608Metric,92.5,-64,180,top
C14,10uF,C_0603_1608Metric,93.5,-70,180,top
C15,33pF,C_0402_1005Metric,91.5,-92.9175,-90,top
C16,33pF,C_0402_1005Metric,97.2,-92.9175,90,top
C17,0.1uF,C_0402_1005Metric,93.22,-74.4,180,top
D1,SK6812MINI,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,95.5,-98.6,0,top
J1,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,95.5,-57.5,180,top
J2,Conn_01x20,PinHeader_1x20_P2.54mm_Vertical,86.61,-56.37,0,top
J3,Conn_01x20,PinHeader_1x20_P2.54mm_Vertical,104.39,-56.37,0,top
J4,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,92.96,-104.39,90,top
R1,5.1K,R_0402_1005Metric,97.5,-63.8,-90,top
R2,5.1K,R_0402_1005Metric,94.6,-64.09,-90,top
R3,27,R_0402_1005Metric,96.2,-79.29,-90,top
R4,27,R_0402_1005Metric,97.2,-79.29,-90,top
R5,1K,R_0402_1005Metric,95.5,-90.6375,180,top
R6,1K,R_0402_1005Metric,100.2,-72.21,-90,top
R7,10K,R_0402_1005Metric,91.19,-74.4,0,top
SW1,SW_Push,SW_Push_SPST_NO_Alps_SKRK,100,-68.3,-90,top
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,95.5,-84.9375,0,top
U2,MCP1700x-300xxTT,SOT-23,93.55,-67.0625,90,top
U3,W25Q128JVS,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,92.075,-76.4375,0,top
Y1,12 MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,94.5,-92.9375,180,top
