Top Designator,Comment,Footprint,Quantity,Supplier and ref
C1,1uf ,C_0402_1005Metric,20,
C10,1uf ,C_0402_1005Metric,20,
"C3,C4,C11,C7,C5,C6,C12,C8,C9,C17,C2",0.1uf ,C_0402_1005Metric,65,
"C13,C14",10uf ,C_0402_1005Metric,20,
"C16,C15",33pF,C_0402_1005Metric,20,
D1,SK6812MINI,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,7,
J1,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,5,
"J2,J3",Conn_01x20,PinHeader_1x20_P2.54mm_Vertical,0,
J4,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,0,
"R1,R2",5.1k,R_0402_1005Metric,20,
"R4,R3",27,R_0402_1005Metric,22,
"R5,R6",1k,R_0402_1005Metric,20,
R7,10k,R_0402_1005Metric,20,
SW1,SW_Push,SW_Push_SPST_NO_Alps_SKRK,9,
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,5,
U2,MCP1700x-300xxTT,SOT-23,5,
U3,W25Q128JVS,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,5,
Y1,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,9,
